id,date,user,pc,activity
{J1S3-L9UU75BQ-7790ATPL},01/02/2010 07:21:06,MOH0273,PC-6699,Connect
{N7B5-Y7BB27SI-2946PUJK},01/02/2010 07:37:41,MOH0273,PC-6699,Disconnect
{H9X8-R0QB50BG-6009OAKA},01/02/2010 08:25:19,MOH0273,PC-6699,Connect
{J9M2-G1YI63RE-9923EBLY},01/02/2010 08:29:40,MOH0273,PC-6699,Disconnect
{G0F2-L3HD38PO-9615PWRH},01/02/2010 09:14:14,MOH0273,PC-6699,Connect
{E4C0-M1WA06EJ-8811MVTX},01/02/2010 09:36:51,MOH0273,PC-6699,Disconnect
{X5W5-D6SK53FF-4298XGTU},01/02/2010 09:52:16,MOH0273,PC-6699,Connect
{E4B1-U9XY63FR-1447MDMV},01/02/2010 09:59:33,MOH0273,PC-6699,Disconnect
{F9L3-Y8ZE73LG-8974FHET},01/02/2010 10:30:55,MOH0273,PC-6699,Connect
{F3J2-U7WM40PC-4726GLMS},01/02/2010 10:37:30,MOH0273,PC-6699,Disconnect
{C2T8-H1DM73UX-8162CBYB},01/02/2010 12:54:44,MOH0273,PC-6699,Connect
{M7E9-N8PG54AU-3954YPUI},01/02/2010 13:16:08,MOH0273,PC-6699,Disconnect
{V6M8-V6HN16UT-1309OXBP},01/02/2010 16:18:36,MOH0273,PC-6699,Connect
{Q7T1-A2LB12FC-1273DYQX},01/02/2010 16:24:49,MOH0273,PC-6699,Disconnect
{P6E3-W8PY97NE-7913FBNT},01/04/2010 09:25:48,MOH0273,PC-6699,Connect
{J1M7-S1BM52LU-0853XDLL},01/04/2010 09:31:11,MOH0273,PC-6699,Disconnect
{X1D9-O2BE36EZ-8900EDBL},01/04/2010 09:49:41,MOH0273,PC-6699,Connect
{Z8B6-W6NU29BE-7274UDLM},01/04/2010 10:08:10,MOH0273,PC-6699,Disconnect
{P7Q1-X2ZY09JJ-9338CRKT},01/04/2010 10:35:42,MOH0273,PC-6699,Connect
{T0L6-T8XN23VP-2267JDDK},01/04/2010 10:58:06,MOH0273,PC-6699,Disconnect
{Z9N3-N7JI50PK-0118NNOI},01/04/2010 11:23:04,MOH0273,PC-6699,Connect
{R6I5-I5WU38GW-0809DLFV},01/04/2010 11:50:28,MOH0273,PC-6699,Disconnect
{M8D4-I5IB75FT-3396PLIF},01/04/2010 12:02:51,MOH0273,PC-6699,Connect
{F8R5-O6RY13PQ-0639HEXH},01/04/2010 12:20:19,MOH0273,PC-6699,Disconnect
{F6Q9-S6QT92LG-8743EONM},01/04/2010 13:40:01,MOH0273,PC-6699,Connect
{L7I9-W7LY20WO-5125ZEDU},01/04/2010 13:41:44,MOH0273,PC-6699,Disconnect
{J4N2-O4WZ58XI-6820NHQN},01/04/2010 13:59:21,MOH0273,PC-6699,Connect
{C5J5-Q3OA43XQ-9928FUJV},01/04/2010 14:24:45,MOH0273,PC-6699,Disconnect
{O5R6-H7VH95KH-7319ZJCP},01/04/2010 14:53:12,MOH0273,PC-6699,Connect
{I2S5-H2LE49TH-0970CBVL},01/04/2010 15:32:28,MOH0273,PC-6699,Disconnect
{G0W4-O4KL06FD-7965YIEQ},01/04/2010 16:53:33,MOH0273,PC-6699,Connect
{N5B8-I4CU65FK-4479VEXG},01/04/2010 17:07:44,MOH0273,PC-6699,Disconnect
{R8J1-B9ML99BQ-6469KUWY},01/05/2010 12:19:44,MOH0273,PC-6699,Connect
{Y9U0-I7HV30ON-0841JFMM},01/05/2010 12:21:51,MOH0273,PC-6699,Disconnect
{D6L0-N8EP84FC-0811UUMV},01/05/2010 12:22:56,MOH0273,PC-6699,Connect
{Q2F0-M0WL87TC-6335VXYE},01/05/2010 12:23:45,MOH0273,PC-6699,Disconnect
{B2S7-V9GN08IP-4234YURO},01/05/2010 12:24:48,MOH0273,PC-6699,Connect
{A3D2-N7YE82GS-1329JIJW},01/05/2010 12:27:21,MOH0273,PC-6699,Disconnect
{D1D6-U0EK18YS-5965FRLK},01/05/2010 12:28:11,MOH0273,PC-6699,Connect
{J1L5-E0YS20NQ-8593OOAY},01/05/2010 12:31:26,MOH0273,PC-6699,Disconnect
{G7F9-H6KI00LV-6017UZQU},01/05/2010 12:33:17,MOH0273,PC-6699,Connect
{W7G4-I8MV02CZ-6736QSHC},01/05/2010 12:36:04,MOH0273,PC-6699,Disconnect
{C7M5-U1SE18TB-4146DXBR},01/05/2010 12:38:56,MOH0273,PC-6699,Connect
{Y5W3-Q4HH44HJ-9000TGFC},01/05/2010 12:39:50,MOH0273,PC-6699,Disconnect
{J2S8-D1DA75ZL-6897WWFE},01/05/2010 12:40:51,MOH0273,PC-6699,Connect
{C0C1-G4XY16JX-4139YKHZ},01/05/2010 12:42:54,MOH0273,PC-6699,Disconnect
{J0I8-V0TB50TI-0703OXQF},01/06/2010 17:03:41,MOH0273,PC-6699,Connect
{Y4V6-V2RA84WS-0922TQON},01/06/2010 17:03:55,MOH0273,PC-6699,Disconnect
{C6T3-F0NJ40UG-6776XSAL},01/06/2010 17:03:57,MOH0273,PC-6699,Connect
{E7L4-M8NL24LV-4675HMUC},01/06/2010 17:04:24,MOH0273,PC-6699,Disconnect
{D5T1-Q5AO86XS-1221VSMK},01/06/2010 17:05:16,MOH0273,PC-6699,Connect
{O1D7-N6IY75WS-9363IIJG},01/06/2010 17:05:23,MOH0273,PC-6699,Disconnect
{L0X1-Y6RU60NS-3411SPEK},01/06/2010 17:05:43,MOH0273,PC-6699,Connect
{V7P0-F6KE95MX-8414FMYF},01/06/2010 17:06:41,MOH0273,PC-6699,Disconnect
{M2H7-O3UM33IJ-1871WKIJ},01/06/2010 17:07:18,MOH0273,PC-6699,Connect
{J9F3-H2JG11IU-0727PVNZ},01/06/2010 17:07:30,MOH0273,PC-6699,Disconnect
{W5A0-D8IA14GU-0685AHJS},01/06/2010 17:08:14,MOH0273,PC-6699,Connect
{E9X4-L0QB14JE-1194RJXW},01/06/2010 17:09:01,MOH0273,PC-6699,Disconnect
{L2C5-L7NJ05QZ-0940MJCN},01/06/2010 17:09:58,MOH0273,PC-6699,Connect
{L8B8-N3IG14EU-4197GXUB},01/06/2010 17:10:55,MOH0273,PC-6699,Disconnect
{B2T3-O4DC32ZA-7433SHRO},01/07/2010 07:17:02,MOH0273,PC-6699,Connect
{G3T4-A5QY86KR-6248YNDD},01/07/2010 07:22:50,MOH0273,PC-6699,Disconnect
{T7X7-W3GQ07WL-7591DOAE},01/07/2010 08:13:18,MOH0273,PC-6699,Connect
{L7C8-P4AY14OZ-8114XRHU},01/07/2010 08:20:58,MOH0273,PC-6699,Disconnect
{I7I1-U1RX60US-4723AZZM},01/07/2010 10:54:54,MOH0273,PC-6699,Connect
{W4B7-S7DD54NH-4258KVVP},01/07/2010 11:12:11,MOH0273,PC-6699,Disconnect
{W3E6-E9AB55VR-3789LPRZ},01/07/2010 11:39:00,MOH0273,PC-6699,Connect
{M7D1-L6RT81QQ-3137BFEL},01/07/2010 12:15:08,MOH0273,PC-6699,Disconnect
{Z2S3-H3JM40KU-0993DVOO},01/07/2010 12:33:40,MOH0273,PC-6699,Connect
{G5P0-G9NF22SZ-5527PDME},01/07/2010 12:42:04,MOH0273,PC-6699,Disconnect
{V1V0-E8XS58OP-2473NURE},01/07/2010 13:33:06,MOH0273,PC-6699,Connect
{I2J2-H8SD72XD-6597AALU},01/07/2010 14:00:43,MOH0273,PC-6699,Disconnect
{S3E9-C0ZH05RP-6317PTCQ},01/07/2010 14:29:42,MOH0273,PC-6699,Connect
{J0O0-D6DA48AX-0773HTIH},01/07/2010 14:43:38,MOH0273,PC-6699,Disconnect
{H5S7-U8ZU75OI-6009PKEI},01/07/2010 15:24:58,MOH0273,PC-6699,Connect
{J0B5-B2UK65VW-8675MHYT},01/07/2010 15:51:36,MOH0273,PC-6699,Disconnect
{P2J1-G1ZC94MP-1304YRQF},01/07/2010 16:12:33,MOH0273,PC-6699,Connect
{S5G5-S3HY83ZX-7257YMYV},01/07/2010 16:38:46,MOH0273,PC-6699,Disconnect
{U4J3-P5PS44TZ-4417HFIJ},01/08/2010 07:51:22,MOH0273,PC-6699,Connect
{O2J3-N3OU78MS-7455UOUK},01/08/2010 08:19:07,MOH0273,PC-6699,Disconnect
{K9C4-P7YO56DG-3725MSTY},01/08/2010 08:19:09,MOH0273,PC-6699,Connect
{A3W9-J7DL47NP-7581ICSB},01/08/2010 08:19:26,MOH0273,PC-6699,Disconnect
{Q3R3-D2PP42UN-1506CCBC},01/08/2010 10:06:21,MOH0273,PC-6699,Connect
{L4F9-A6ME79FN-8074CBWG},01/08/2010 10:10:12,MOH0273,PC-6699,Disconnect
{L3U3-Y5PT24EZ-7715EIHC},01/08/2010 10:20:19,MOH0273,PC-6699,Connect
{I4E1-B2HQ20HO-3260GSUF},01/08/2010 11:05:56,MOH0273,PC-6699,Disconnect
{S4E4-V7FM62QV-4228KFXP},01/08/2010 11:33:12,MOH0273,PC-6699,Connect
{U7P8-I6SB19IC-0094PGIC},01/08/2010 11:41:28,MOH0273,PC-6699,Disconnect
{S7V8-I4VB30PJ-6340VRCV},01/08/2010 12:42:06,MOH0273,PC-6699,Connect
{R8Q2-Z4IP01MV-2880RUEH},01/08/2010 12:43:16,MOH0273,PC-6699,Disconnect
{U7S7-B0KV07XD-4127SHBV},01/08/2010 13:20:31,MOH0273,PC-6699,Connect
{M8D8-X2GD65TK-9081WUWH},01/08/2010 13:29:22,MOH0273,PC-6699,Disconnect
{A0K8-F2UT98UU-1373FMHQ},01/08/2010 14:19:55,MOH0273,PC-6699,Connect
{J1N1-F7DH00WT-9888ZVQV},01/08/2010 14:37:01,MOH0273,PC-6699,Disconnect
{X4D3-U4BV51LY-4379MRFB},01/08/2010 14:41:25,MOH0273,PC-6699,Connect
{N2F9-F2ZD45FD-8813LSCV},01/08/2010 14:56:17,MOH0273,PC-6699,Disconnect
{A7T3-Q1VO53CA-7216VEEY},01/09/2010 11:59:51,MOH0273,PC-6699,Connect
{F2S3-S7NF88ON-3428RLWU},01/09/2010 12:06:08,MOH0273,PC-6699,Disconnect
{F0O4-A1BK98FZ-6810KHFA},01/09/2010 12:18:16,MOH0273,PC-6699,Connect
{P8X7-R2EU75SZ-5533OSWN},01/09/2010 12:35:12,MOH0273,PC-6699,Disconnect
{B4L0-K7WN85CH-0621BQFG},01/09/2010 12:45:08,MOH0273,PC-6699,Connect
{T6A7-L0PG31HQ-6364HCIC},01/09/2010 12:45:35,MOH0273,PC-6699,Disconnect
{V1K1-X0JX97LR-1184OPIP},01/09/2010 12:56:27,MOH0273,PC-6699,Connect
{T5P3-K3LP88FX-3748NMNS},01/09/2010 13:09:16,MOH0273,PC-6699,Disconnect
{V9T0-E0RJ74ND-7546COYY},01/09/2010 13:12:13,MOH0273,PC-6699,Connect
{K2B2-V5HJ07YU-3939NLQJ},01/09/2010 13:24:17,MOH0273,PC-6699,Disconnect
{Z0H3-U1XG57TM-0215HMKW},01/09/2010 13:25:35,MOH0273,PC-6699,Connect
{H7Z0-L7IX96YP-6171TAOA},01/09/2010 13:36:47,MOH0273,PC-6699,Disconnect
{X0M2-C6SW54YQ-8635KRVQ},01/09/2010 15:42:44,MOH0273,PC-6699,Connect
{R8B6-K9FX65KZ-9905RKRY},01/09/2010 15:44:11,MOH0273,PC-6699,Disconnect
{L0Y0-U1ZG20VI-9390MFBB},01/09/2010 15:55:52,MOH0273,PC-6699,Connect
{B7V6-D5GG07XW-7238ILCB},01/09/2010 16:03:52,MOH0273,PC-6699,Disconnect
{C6O7-M0UT95SS-7598RJYK},01/09/2010 16:04:17,MOH0273,PC-6699,Connect
{C3H6-V8WH49WC-6226NVOA},01/09/2010 16:12:43,MOH0273,PC-6699,Disconnect
{H5I1-V9VB90VC-6097TJCT},01/11/2010 10:18:34,MOH0273,PC-6699,Connect
{M4D4-W5JL92WM-5937BAVO},01/11/2010 10:37:40,MOH0273,PC-6699,Disconnect
{Y3S4-N5VJ80GX-1063FIXH},01/11/2010 11:04:05,MOH0273,PC-6699,Connect
{M8N4-J3IU77NF-7350GSQR},01/11/2010 11:21:55,MOH0273,PC-6699,Disconnect
{D4F9-N3HE65NF-6387FGWZ},01/11/2010 11:42:08,MOH0273,PC-6699,Connect
{C5A0-N1HO63WH-3186FRQT},01/11/2010 11:44:59,MOH0273,PC-6699,Disconnect
{X9C1-I3MR39RZ-8167KXWQ},01/11/2010 12:15:04,MOH0273,PC-6699,Connect
{Y3T6-Q5WB58SR-7971UOGL},01/11/2010 12:39:05,MOH0273,PC-6699,Disconnect
{A5V7-H1HM42LT-6823ZLGL},01/11/2010 12:52:45,MOH0273,PC-6699,Connect
{Y0K9-T8MW92IN-4330AMOS},01/11/2010 12:55:30,MOH0273,PC-6699,Disconnect
{W3S1-Z9HJ47US-8241WHRP},01/11/2010 14:04:11,MOH0273,PC-6699,Connect
{X5E7-S6UK29EN-8605AQBT},01/11/2010 14:26:53,MOH0273,PC-6699,Disconnect
{O0R6-H9CQ36OW-4844EHYK},01/11/2010 14:30:27,MOH0273,PC-6699,Connect
{S4N5-R9YW33XD-7057IDGC},01/11/2010 14:38:54,MOH0273,PC-6699,Disconnect
{Y1I9-I5JE79JE-1484ZIPP},01/11/2010 15:30:31,MOH0273,PC-6699,Connect
{D9C2-W2RJ85ZJ-4247FDNN},01/11/2010 15:50:42,MOH0273,PC-6699,Disconnect
{L1S8-E4MR45GR-6107LTDX},01/11/2010 15:58:33,MOH0273,PC-6699,Connect
{L2G2-Q1OT67GS-4776JKMB},01/11/2010 16:03:32,MOH0273,PC-6699,Disconnect
{R2W8-Z2YW87YS-5264PNIB},01/12/2010 08:37:50,MOH0273,PC-6699,Connect
{H2M8-F6FK73SZ-5121OPQQ},01/12/2010 08:51:54,MOH0273,PC-6699,Disconnect
{J9E3-F4IU04CX-5218YOED},01/12/2010 09:53:01,MOH0273,PC-6699,Connect
{O9X0-H4RO53VH-1070PQWI},01/12/2010 10:20:49,MOH0273,PC-6699,Disconnect
{C2H0-A8NZ62ZX-7608MJUV},01/12/2010 10:51:54,MOH0273,PC-6699,Connect
{P8A9-H7PM00OS-9171ETBK},01/12/2010 11:01:10,MOH0273,PC-6699,Disconnect
{P6F6-G7FA06UF-6810DIPC},01/12/2010 12:19:19,MOH0273,PC-6699,Connect
{R9D5-G6RP04MS-9057PMRG},01/12/2010 12:43:06,MOH0273,PC-6699,Disconnect
{K4R7-E0ZB38LR-5036MUTX},01/12/2010 14:18:37,MOH0273,PC-6699,Connect
{X3K4-N1XP08WX-3377LKJL},01/12/2010 14:41:42,MOH0273,PC-6699,Disconnect
{X1K9-W2WM26QK-1696IGVJ},01/12/2010 15:47:49,MOH0273,PC-6699,Connect
{D6Y2-I1JT49ZK-9932EVVB},01/12/2010 15:58:27,MOH0273,PC-6699,Disconnect
{O6L2-Y6VU59ZD-0488MTNC},01/12/2010 17:02:23,MOH0273,PC-6699,Connect
{H9J5-F5QI77WC-8467DUAZ},01/13/2010 07:45:00,MOH0273,PC-6699,Connect
{I2I1-H3IJ88QM-7353XFFF},01/13/2010 08:02:21,MOH0273,PC-6699,Disconnect
{P2T0-N5TX19ZP-4958LJFO},01/13/2010 08:54:23,MOH0273,PC-6699,Connect
{E0X9-Z1NA65DN-2162HCJY},01/13/2010 08:54:35,MOH0273,PC-6699,Disconnect
{O4R2-F6EC06OZ-9502TYXN},01/13/2010 09:46:03,MOH0273,PC-6699,Connect
{Q5K4-C2QD56FX-3009UOUV},01/13/2010 10:02:45,MOH0273,PC-6699,Disconnect
{C3Q2-Y4WQ38PD-5026IFIL},01/13/2010 11:18:06,MOH0273,PC-6699,Connect
{E2Q9-R0LO08YU-4315UDPK},01/13/2010 11:27:07,MOH0273,PC-6699,Disconnect
{Y0S8-J6VW39FQ-0463MCMA},01/13/2010 12:44:05,MOH0273,PC-6699,Connect
{Z3Z3-A3QV04UK-2047CNRK},01/13/2010 12:47:15,MOH0273,PC-6699,Disconnect
{Q2F1-O1KJ32BC-9044DUGM},01/13/2010 13:43:13,MOH0273,PC-6699,Connect
{P1W9-K1EW77SO-5774LXLX},01/13/2010 13:44:45,MOH0273,PC-6699,Disconnect
{U8X6-D0NP95DE-5294METF},01/13/2010 15:56:20,MOH0273,PC-6699,Connect
{T0P1-J4CH91UX-7396SLFY},01/13/2010 15:58:41,MOH0273,PC-6699,Disconnect
{X4O1-F9IT54KR-7425BHLX},01/14/2010 07:45:09,MOH0273,PC-6699,Connect
{N7K0-B4FH90PG-7783IMCB},01/14/2010 08:02:49,MOH0273,PC-6699,Disconnect
