,id,date,user,pc,activity
335,{Y4O8-J5DB54KR-4500NJZI},01/04/2010 08:23:28,HXL0968,PC-0623,Connect
351,{F5L8-A9CZ70HI-2484XOSZ},01/04/2010 08:33:35,HXL0968,PC-0623,Disconnect
437,{X9O9-B2UK18DO-8986PROO},01/04/2010 09:18:42,HXL0968,PC-0623,Connect
481,{Q3K0-K3SV42SY-5111XRNM},01/04/2010 09:38:00,HXL0968,PC-0623,Disconnect
1018,{C6O9-F5IP92EC-2356PDTE},01/04/2010 14:14:22,HXL0968,PC-0623,Connect
1040,{A2S2-N8RG35KO-8999VALL},01/04/2010 14:25:41,HXL0968,PC-0623,Disconnect
1502,{J8Q5-V0YH09EG-7624ALNE},01/05/2010 08:13:25,HXL0968,PC-0623,Connect
1518,{G6Z7-T1VK23LU-5803QRNZ},01/05/2010 08:21:47,HXL0968,PC-0623,Disconnect
2277,{Y0I4-D8CG88GK-5268KLCS},01/05/2010 14:51:19,HXL0968,PC-0623,Connect
2329,{M3L7-I8TO73ML-2513QJRH},01/05/2010 15:16:55,HXL0968,PC-0623,Disconnect
2758,{A1B6-O3KS25KQ-7156BCBR},01/06/2010 08:32:23,HXL0968,PC-0623,Connect
2824,{U8S5-K6VB90XQ-4529LRKV},01/06/2010 09:06:13,HXL0968,PC-0623,Disconnect
3599,{L7G0-Y0XO14TW-9075EQJT},01/06/2010 15:23:08,HXL0968,PC-0623,Connect
3634,{S7H8-A7JF29DG-8268VHVU},01/06/2010 15:34:51,HXL0968,PC-0623,Disconnect
3949,{C9G9-Q9YX08LE-4878VHBY},01/07/2010 07:43:11,HXL0968,PC-0623,Connect
4034,{G7U5-G2QP44KI-0189BHGF},01/07/2010 08:48:50,HXL0968,PC-0623,Disconnect
4060,{B4P5-F3GI82GC-6329VJOC},01/07/2010 09:04:54,HXL0968,PC-0623,Connect
4155,{Q8X3-Q8GS77UN-6219GXCG},01/07/2010 09:32:34,HXL0968,PC-0623,Disconnect
4544,{D7A9-E3PX19OC-9488ZQMM},01/07/2010 12:48:46,HXL0968,PC-0623,Connect
4590,{B3J7-Q7MJ80PQ-1442YIEM},01/07/2010 13:18:41,HXL0968,PC-0623,Disconnect
5252,{U2Q6-C0RH65EE-8479DBFG},01/08/2010 08:23:31,HXL0968,PC-0623,Connect
5329,{P8L7-M2XX86RQ-9896AAYL},01/08/2010 09:04:16,HXL0968,PC-0623,Disconnect
5562,{K6N8-X7PI53QY-3393JFNL},01/08/2010 10:56:39,HXL0968,PC-0623,Connect
5593,{R3P7-K7LM66AZ-2006HKVJ},01/08/2010 11:14:54,HXL0968,PC-0623,Disconnect
5634,{T3I6-D6CY26GU-8842YKTJ},01/08/2010 11:42:10,HXL0968,PC-0623,Connect
5665,{N6Y2-S0PW84CG-2954FUOV},01/08/2010 12:00:06,HXL0968,PC-0623,Disconnect
6025,{D9M0-D8GQ81WY-0092OBCU},01/08/2010 14:44:26,HXL0968,PC-0623,Connect
6054,{B0P2-K3HS38CW-1971PLPH},01/08/2010 14:58:15,HXL0968,PC-0623,Disconnect
6867,{U6H5-Z2QT94PA-2685RCVN},01/11/2010 08:36:18,HXL0968,PC-0623,Connect
6915,{Z4P0-M0FY90ES-8667YPOR},01/11/2010 09:01:54,HXL0968,PC-0623,Disconnect
7134,{J4E9-E5DY71QR-3852ZGQZ},01/11/2010 10:54:28,HXL0968,PC-0623,Connect
7135,{V6H7-Y1PR00PQ-5965DKQC},01/11/2010 10:55:01,HXL0968,PC-0623,Disconnect
8026,{U5X2-X9PO97KC-8496SIOW},01/12/2010 07:51:32,HXL0968,PC-0623,Connect
8050,{V3L9-J3HJ79BH-9625CIPQ},01/12/2010 08:19:55,HXL0968,PC-0623,Disconnect
8509,{Z7A7-U8YD23RL-6388QCNS},01/12/2010 11:49:16,HXL0968,PC-0623,Connect
8555,{O4M6-P1RH43HX-8059SRTK},01/12/2010 12:09:15,HXL0968,PC-0623,Disconnect
8784,{R8J7-I8EG62SN-6788XWKQ},01/12/2010 14:27:21,HXL0968,PC-0623,Connect
8853,{S4J5-G2NV74ZM-7643MAJR},01/12/2010 14:59:16,HXL0968,PC-0623,Disconnect
9743,{K0O6-Z1KB08YC-7811KMPB},01/13/2010 12:29:53,HXL0968,PC-0623,Connect
9803,{E2R4-L3CR88SV-3190MEYE},01/13/2010 13:12:50,HXL0968,PC-0623,Disconnect
11916,{O8Q5-J9IY91EV-6911GVXA},01/15/2010 09:59:46,HXL0968,PC-0623,Connect
12115,{K0P2-N3KL89PP-0689MYUA},01/15/2010 11:31:09,HXL0968,PC-0623,Disconnect
12192,{R0G9-N3JJ44LN-1028OSYD},01/15/2010 12:18:43,HXL0968,PC-0623,Connect
