,id,date,user,pc,activity
402,{B6E3-K0FR68GU-8056HSRT},01/04/2010 07:03:00,HXL0968,PC-0623,Logon
1877,{D7E2-V3HY75LK-1208ETZE},01/04/2010 16:17:00,HXL0968,PC-0623,Logoff
3052,{H8I5-N2EL13FR-8584ISVS},01/05/2010 07:19:00,HXL0968,PC-0623,Logon
4454,{V5H2-C9NG41LL-7067ONHP},01/05/2010 16:04:00,HXL0968,PC-0623,Logoff
5692,{W4G2-X4BC39TS-6544UCUH},01/06/2010 07:23:00,HXL0968,PC-0623,Logon
7028,{F0A5-P4ZS84RG-6051LHEZ},01/06/2010 16:16:00,HXL0968,PC-0623,Logoff
8339,{U0H1-M3JT70FC-0191ZURG},01/07/2010 07:25:00,HXL0968,PC-0623,Logon
9780,{N2G0-P0XW98ON-2960TMPJ},01/07/2010 16:15:00,HXL0968,PC-0623,Logoff
10938,{X6H3-T3GW65HM-5387ZXOP},01/08/2010 07:23:00,HXL0968,PC-0623,Logon
12401,{E8Q2-L1QC01HX-5581SKXM},01/08/2010 16:30:00,HXL0968,PC-0623,Logoff
13810,{L3I8-Y9GR95HL-3456MVLE},01/11/2010 07:10:00,HXL0968,PC-0623,Logon
15205,{H2G3-R9YR04IE-3154EGCE},01/11/2010 16:19:00,HXL0968,PC-0623,Logoff
16486,{T4T6-U2CO93UJ-8796LRLW},01/12/2010 07:15:00,HXL0968,PC-0623,Logon
17886,{D6K9-N0RU44AI-6261RKIC},01/12/2010 16:09:00,HXL0968,PC-0623,Logoff
19106,{J8I8-D6EA34WT-6646GXEQ},01/13/2010 07:25:00,HXL0968,PC-0623,Logon
20480,{N8T4-G2MA62KI-6122UOCZ},01/13/2010 16:04:00,HXL0968,PC-0623,Logoff
21578,{R7N7-J2KA76ZC-9532ERAF},01/14/2010 07:00:00,HXL0968,PC-0623,Logon
23054,{I6O2-U4YH72VE-6840EMCN},01/14/2010 16:17:00,HXL0968,PC-0623,Logoff
24272,{F5P1-V3EP57MK-6465GYND},01/15/2010 07:15:00,HXL0968,PC-0623,Logon
25755,{Y9L2-G8HX97DA-2377VEIB},01/15/2010 16:06:00,HXL0968,PC-0623,Logoff
27200,{J1N4-Z0QZ60LM-7046NVDX},01/18/2010 07:10:00,HXL0968,PC-0623,Logon
28627,{G3T6-U8PL60SO-8299XWXW},01/18/2010 16:14:00,HXL0968,PC-0623,Logoff
29846,{X0P8-D0RQ35LG-0100CLNM},01/19/2010 07:03:00,HXL0968,PC-0623,Logon
31396,{H0G3-R1YO13XJ-6074HLIF},01/19/2010 16:29:00,HXL0968,PC-0623,Logoff
32558,{G2I8-I5HB41SB-0402FYNV},01/20/2010 07:17:00,HXL0968,PC-0623,Logon
34035,{H4R1-J4XE64YN-2797XVLG},01/20/2010 16:28:00,HXL0968,PC-0623,Logoff
35099,{C9S2-G5BC19JN-2224SNHL},01/21/2010 07:10:00,HXL0968,PC-0623,Logon
36645,{V7B8-F0FZ13VB-0036MOOH},01/21/2010 16:22:00,HXL0968,PC-0623,Logoff
37742,{B3R2-F4YB14MR-5532LMKB},01/22/2010 07:11:00,HXL0968,PC-0623,Logon
39174,{A3V2-M2PA37NF-4934CMBN},01/22/2010 16:24:00,HXL0968,PC-0623,Logoff
40732,{A2N2-E1IB65GM-1337KEBJ},01/25/2010 07:13:00,HXL0968,PC-0623,Logon
42162,{C1C3-O9OO48ZD-1633ETDA},01/25/2010 16:18:00,HXL0968,PC-0623,Logoff
43388,{H3D2-A7FB79ZH-7987LQCP},01/26/2010 07:23:00,HXL0968,PC-0623,Logon
44796,{F6L8-I3AE50OF-6068PNMR},01/26/2010 16:15:00,HXL0968,PC-0623,Logoff
45938,{B6G2-F5UT98EE-1673UYPB},01/27/2010 07:14:00,HXL0968,PC-0623,Logon
47391,{W0I9-Y0EH47LJ-3100BZGZ},01/27/2010 16:29:00,HXL0968,PC-0623,Logoff
48524,{A6B5-F0MF63IE-8484FOOE},01/28/2010 07:19:00,HXL0968,PC-0623,Logon
49916,{Q8P9-M9YU77QF-0419JQRD},01/28/2010 16:09:00,HXL0968,PC-0623,Logoff
51179,{Q1G3-C0JC14LA-8927TDOO},01/29/2010 07:24:00,HXL0968,PC-0623,Logon
52563,{L9Q8-Q3MA46GY-4175QLUZ},01/29/2010 16:07:00,HXL0968,PC-0623,Logoff
54069,{L9D9-I9ZF57SP-7666UXAS},02/01/2010 07:16:00,HXL0968,PC-0623,Logon
55476,{I4N6-T1YR11FZ-9995JHPQ},02/01/2010 16:05:00,HXL0968,PC-0623,Logoff
56759,{K2X4-S0ZR12RR-7349NMRI},02/02/2010 07:23:00,HXL0968,PC-0623,Logon
58161,{H3J9-L6PR70IT-3149UCZH},02/02/2010 16:04:00,HXL0968,PC-0623,Logoff
59367,{I7E5-V6EJ51ID-1707KYOS},02/03/2010 07:23:00,HXL0968,PC-0623,Logon
60784,{H6B5-D2UY24KG-1238IESH},02/03/2010 16:10:00,HXL0968,PC-0623,Logoff
61953,{T9U4-N5UO35EF-1858YHBS},02/04/2010 07:20:00,HXL0968,PC-0623,Logon
63366,{X3O2-Q0WF54FD-9935FWCY},02/04/2010 16:11:00,HXL0968,PC-0623,Logoff
64492,{A6X7-H0OM58FT-6746CGBH},02/05/2010 07:15:00,HXL0968,PC-0623,Logon
65944,{V0W7-Q8WL77XI-5902XOPW},02/05/2010 16:06:00,HXL0968,PC-0623,Logoff
67539,{E5G6-L5KL03PL-6435QVPQ},02/08/2010 07:19:00,HXL0968,PC-0623,Logon
68887,{N6X2-O9RZ57MK-2081MXEO},02/08/2010 16:06:00,HXL0968,PC-0623,Logoff
70158,{A5L8-O0HG26VA-4243FKJE},02/09/2010 07:26:00,HXL0968,PC-0623,Logon
71575,{Y5Q2-Y8WB93JM-1632NUYK},02/09/2010 16:12:00,HXL0968,PC-0623,Logoff
72720,{C5V2-Q2XM32GK-2188SCNE},02/10/2010 07:23:00,HXL0968,PC-0623,Logon
74109,{W2B5-Y2WB91GI-2947VHES},02/10/2010 16:07:00,HXL0968,PC-0623,Logoff
75248,{G8J4-Z3EV69CL-9253JAZW},02/11/2010 07:16:00,HXL0968,PC-0623,Logon
76722,{O9F7-K9VH57FR-5350CVJH},02/11/2010 16:25:00,HXL0968,PC-0623,Logoff
77872,{M3G6-V7IG54FE-9067GKJY},02/12/2010 07:21:00,HXL0968,PC-0623,Logon
79271,{G3N9-G9MH51EE-3547WXPC},02/12/2010 16:07:00,HXL0968,PC-0623,Logoff
80738,{H4W1-O3FL93CC-8064BLPA},02/15/2010 07:08:00,HXL0968,PC-0623,Logon
82211,{R3S6-W3AK33ZE-9953EZOT},02/15/2010 16:23:00,HXL0968,PC-0623,Logoff
83392,{D5V4-C1UJ20IL-5043WWSM},02/16/2010 07:18:00,HXL0968,PC-0623,Logon
84818,{C6C4-Y8KL41KV-3192TDLR},02/16/2010 16:09:00,HXL0968,PC-0623,Logoff
85983,{Q5M6-I5HN52NE-3240XZIW},02/17/2010 07:13:00,HXL0968,PC-0623,Logon
87383,{E2J3-N5MS98SU-3390QJOO},02/17/2010 16:26:00,HXL0968,PC-0623,Logoff
88607,{N2V7-W0KD22TT-1819KQRP},02/18/2010 07:19:00,HXL0968,PC-0623,Logon
89975,{H9L2-S9TF48TT-7643GVGG},02/18/2010 16:08:00,HXL0968,PC-0623,Logoff
91014,{S3M7-D8VF88GG-7425IIND},02/19/2010 07:00:00,HXL0968,PC-0623,Logon
92543,{L3C4-W9LB30EZ-0021VNHK},02/19/2010 16:16:00,HXL0968,PC-0623,Logoff
93919,{A9I2-B2OJ50PE-9443NYUG},02/22/2010 07:06:00,HXL0968,PC-0623,Logon
95433,{Z3Z5-I6MQ18IO-9775UKSE},02/22/2010 16:26:00,HXL0968,PC-0623,Logoff
96479,{A8P4-F0OI39LG-1979YKRB},02/23/2010 07:08:00,HXL0968,PC-0623,Logon
97925,{W6C0-Z8UT88SA-3172QVKQ},02/23/2010 16:25:00,HXL0968,PC-0623,Logoff
99159,{V7N8-A3ZJ68XX-5260SJEP},02/24/2010 07:23:00,HXL0968,PC-0623,Logon
100541,{Y3E1-I9WR62WA-5561ZHEF},02/24/2010 16:05:00,HXL0968,PC-0623,Logoff
101643,{I4W7-N8HV96BU-0516VEKY},02/25/2010 07:16:00,HXL0968,PC-0623,Logon
103152,{R0D4-A7AH97TO-2641VRGF},02/25/2010 16:12:00,HXL0968,PC-0623,Logoff
104229,{U1Q7-S6IQ34AV-0998EXOI},02/26/2010 07:06:00,HXL0968,PC-0623,Logon
105719,{M6G4-Z2VF94YI-4665SWIE},02/26/2010 16:26:00,HXL0968,PC-0623,Logoff
107184,{A7S1-Q7AF86ZR-0221LAHA},03/01/2010 07:15:00,HXL0968,PC-0623,Logon
108524,{S2V8-K5JT29VU-9175UWRN},03/01/2010 16:20:00,HXL0968,PC-0623,Logoff
109723,{V7X9-B7JT94SH-0672UBML},03/02/2010 07:13:00,HXL0968,PC-0623,Logon
111159,{N6V2-K3PM48CS-7629NMQG},03/02/2010 16:07:00,HXL0968,PC-0623,Logoff
112277,{N2D4-A2UB80ZS-9612DUUS},03/03/2010 07:15:00,HXL0968,PC-0623,Logon
113713,{O5G2-M2MF36ED-4813WEBQ},03/03/2010 16:06:00,HXL0968,PC-0623,Logoff
114894,{M8P5-H2DB16KJ-6390YFDO},03/04/2010 07:12:00,HXL0968,PC-0623,Logon
116310,{G0F9-S6RB56DQ-6143XONT},03/04/2010 16:29:00,HXL0968,PC-0623,Logoff
117453,{N0V1-Q0AK66ZH-7788JOCL},03/05/2010 07:12:00,HXL0968,PC-0623,Logon
118944,{Y5J2-R0PC21FK-3902KUHF},03/05/2010 16:11:00,HXL0968,PC-0623,Logoff
