,id,date,user,pc,activity
4,{D1S0-N6FH62BT-5398KANK},01/02/2010 07:00:00,MOH0273,PC-6699,Logon
105,{T0P2-K8DG47LA-4378PILQ},01/02/2010 17:17:00,MOH0273,PC-6699,Logoff
500,{O5P6-A9GX04TO-9360LDMY},01/04/2010 07:15:00,MOH0273,PC-6699,Logon
2169,{I8P3-G1GH87EE-5983IZGA},01/04/2010 17:15:00,MOH0273,PC-6699,Logoff
2993,{A9Q0-Q2WY40MV-8766NBLJ},01/05/2010 07:15:00,MOH0273,PC-6699,Logon
4833,{K0P8-R5IH72EP-7191NDPK},01/05/2010 17:18:00,MOH0273,PC-6699,Logoff
5640,{J6H5-O5LY53RG-1253KCHZ},01/06/2010 07:15:00,MOH0273,PC-6699,Logon
7326,{L0D1-Z3JG11YI-8589IRZB},01/06/2010 17:12:00,MOH0273,PC-6699,Logoff
8215,{D6B2-T2ME62OX-8577CSJD},01/07/2010 07:07:00,MOH0273,PC-6699,Logon
10081,{O8W7-A4LU71SR-9690AFON},01/07/2010 17:15:00,MOH0273,PC-6699,Logoff
10826,{F7P7-G1OK83US-7793XLTI},01/08/2010 07:03:00,MOH0273,PC-6699,Logon
12617,{T5E7-V3UK53WH-3141DEWM},01/08/2010 17:12:00,MOH0273,PC-6699,Logoff
13293,{L4X2-X8KR84TC-9171RQXQ},01/09/2010 07:09:00,MOH0273,PC-6699,Logon
13416,{J9N6-Q9CM74FJ-0372WEIL},01/09/2010 17:18:00,MOH0273,PC-6699,Logoff
13882,{K7J3-F6XF41PC-7733GAMG},01/11/2010 07:18:00,MOH0273,PC-6699,Logon
15470,{Z8S6-Y1II78AM-2774FHRD},01/11/2010 17:11:00,MOH0273,PC-6699,Logoff
16443,{T6T3-C4NU99QA-2297MWQN},01/12/2010 07:08:00,MOH0273,PC-6699,Logon
18257,{A6H1-U5FH90KX-6269DGKE},01/12/2010 17:24:00,MOH0273,PC-6699,Logoff
19046,{S6Y3-H0KY78XV-2412JMEX},01/13/2010 07:17:00,MOH0273,PC-6699,Logon
20814,{L1O1-X0YF82ZB-3430FSCN},01/13/2010 17:12:00,MOH0273,PC-6699,Logoff
21695,{K0P4-Q9AX94SW-3163LJGO},01/14/2010 07:15:00,MOH0273,PC-6699,Logon
23359,{J8S8-S1QJ79TX-9954NVTN},01/14/2010 17:15:00,MOH0273,PC-6699,Logoff
24246,{A0D9-C8ZR49TD-5286YHUQ},01/15/2010 07:03:00,MOH0273,PC-6699,Logon
26141,{Q6B1-F1VA25VK-8646XRRV},01/15/2010 17:30:00,MOH0273,PC-6699,Logoff
26899,{K5K0-K1DN86KA-3191QIIK},01/17/2010 07:08:00,MOH0273,PC-6699,Logon
27013,{C3L9-U2MB98RM-7528FGSB},01/17/2010 17:13:00,MOH0273,PC-6699,Logoff
27264,{N3J2-I8NG48BS-7938MFUK},01/18/2010 07:18:00,MOH0273,PC-6699,Logon
28993,{D7R9-Y6SR18AL-9598PSLK},01/18/2010 17:30:00,MOH0273,PC-6699,Logoff
29901,{Z6S1-E0RE47UL-8346SYRU},01/19/2010 07:10:00,MOH0273,PC-6699,Logon
31691,{L5V8-I0VQ13JQ-2378BDYS},01/19/2010 17:27:00,MOH0273,PC-6699,Logoff
32502,{G2C0-A7ED52US-2950DRDW},01/20/2010 07:10:00,MOH0273,PC-6699,Logon
34303,{D1W4-J2BE31QY-5038VCAK},01/20/2010 17:19:00,MOH0273,PC-6699,Logoff
35141,{B5W9-O2MG70QS-6003BILT},01/21/2010 07:16:00,MOH0273,PC-6699,Logon
36899,{M1B0-X2EC84UF-5686CORI},01/21/2010 17:12:00,MOH0273,PC-6699,Logoff
37764,{H7X3-V1VB42OL-5723MGMI},01/22/2010 07:14:00,MOH0273,PC-6699,Logon
39512,{P4E4-D2EX92PW-9096VNYJ},01/22/2010 17:30:00,MOH0273,PC-6699,Logoff
40180,{F0Z4-U3EN58OA-7631AYOY},01/23/2010 07:15:00,MOH0273,PC-6699,Logon
40303,{H5V7-H0PN38NF-0505RLRC},01/23/2010 17:12:00,MOH0273,PC-6699,Logoff
40758,{U7F5-A2WY25AY-5063EHHW},01/25/2010 07:17:00,MOH0273,PC-6699,Logon
42417,{E0R8-J9JJ76NF-0975QYOM},01/25/2010 17:12:00,MOH0273,PC-6699,Logoff
43360,{V7B0-W6GS71DX-6629CGDB},01/26/2010 07:19:00,MOH0273,PC-6699,Logon
45080,{X6I2-D7SN50WJ-8650XVCT},01/26/2010 17:13:00,MOH0273,PC-6699,Logoff
45973,{R7Z2-N3SB99CE-6090LSSB},01/27/2010 07:18:00,MOH0273,PC-6699,Logon
47592,{N6T3-E0HU06SX-8182SXIP},01/27/2010 17:11:00,MOH0273,PC-6699,Logoff
48516,{U4X4-N7CS28OQ-8192HHEB},01/28/2010 07:18:00,MOH0273,PC-6699,Logon
50262,{W3L2-K3YT80BC-2554SMXF},01/28/2010 17:15:00,MOH0273,PC-6699,Logoff
51108,{D3L1-E2SD78EY-6704IXBM},01/29/2010 07:16:00,MOH0273,PC-6699,Logon
52920,{Z3L7-X4RV42VB-9858GWUM},01/29/2010 17:15:00,MOH0273,PC-6699,Logoff
53561,{G2D6-S5WL81US-3283SOZQ},01/30/2010 07:16:00,MOH0273,PC-6699,Logon
53665,{Z1P9-V2IT59UO-9465XGPI},01/30/2010 17:16:00,MOH0273,PC-6699,Logoff
54089,{O8H2-V0ZR92UA-6460AJFE},02/01/2010 07:18:00,MOH0273,PC-6699,Logon
55840,{L5O4-U1EK15QX-7470NNKE},02/01/2010 17:13:00,MOH0273,PC-6699,Logoff
56666,{F8X0-W5UE48PV-8456FYEL},02/02/2010 07:15:00,MOH0273,PC-6699,Logon
58529,{S7S9-L5RV39XB-9186NIOQ},02/02/2010 17:15:00,MOH0273,PC-6699,Logoff
59344,{V3W1-O9BR35SK-7253PQGM},02/03/2010 07:19:00,MOH0273,PC-6699,Logon
61094,{E8T4-V3SW35ES-4530ATQH},02/03/2010 17:11:00,MOH0273,PC-6699,Logoff
61944,{Q0G8-V6OO11UB-7405GJZK},02/04/2010 07:19:00,MOH0273,PC-6699,Logon
63681,{Y2O9-U5IL67PC-1951EOTN},02/04/2010 17:13:00,MOH0273,PC-6699,Logoff
64495,{W1L6-K4EN91XJ-8670PHPL},02/05/2010 07:15:00,MOH0273,PC-6699,Logon
66282,{V1X1-L8OI70MV-5553PHVC},02/05/2010 17:13:00,MOH0273,PC-6699,Logoff
67161,{P8S0-Y6AQ29EP-0648VXRO},02/07/2010 07:15:00,MOH0273,PC-6699,Logon
67257,{F8U0-I9TN75VN-4212VHRB},02/07/2010 17:16:00,MOH0273,PC-6699,Logoff
67502,{J0G4-M3LE06TN-1244LVYL},02/08/2010 07:16:00,MOH0273,PC-6699,Logon
69259,{F6D3-E3VE05HY-5632SCRC},02/08/2010 17:14:00,MOH0273,PC-6699,Logoff
70040,{G3B9-P5XZ14MR-2837JTRQ},02/09/2010 07:05:00,MOH0273,PC-6699,Logon
71915,{Z4A9-A6RP47KC-7743RHCP},02/09/2010 17:21:00,MOH0273,PC-6699,Logoff
72637,{O7G8-L5EZ16AG-0195OGRP},02/10/2010 07:15:00,MOH0273,PC-6699,Logon
74430,{A3O6-L7BG35ZB-1925YJZQ},02/10/2010 17:11:00,MOH0273,PC-6699,Logoff
75208,{L7Z2-N0ML85QG-4639JRBB},02/11/2010 07:10:00,MOH0273,PC-6699,Logon
77009,{C9U9-V0XE45KV-1350DFJF},02/11/2010 17:15:00,MOH0273,PC-6699,Logoff
77781,{Y6B4-K0XV95IK-4922LYCL},02/12/2010 07:13:00,MOH0273,PC-6699,Logon
79647,{D0A6-D1OY60NN-1861VZRL},02/12/2010 17:18:00,MOH0273,PC-6699,Logoff
80801,{O0U6-A7JS89PV-2359VXMC},02/15/2010 07:15:00,MOH0273,PC-6699,Logon
82432,{B4S5-E4VC22SJ-7592IWND},02/15/2010 17:11:00,MOH0273,PC-6699,Logoff
83349,{S6H4-X8FO59XQ-8278FXBJ},02/16/2010 07:16:00,MOH0273,PC-6699,Logon
85176,{L8K3-I5EX18WW-3926CMST},02/16/2010 17:15:00,MOH0273,PC-6699,Logoff
86014,{F6N2-H2YP09VR-3156ALAX},02/17/2010 07:16:00,MOH0273,PC-6699,Logon
87612,{X5N8-O5SR60SN-6924MRCV},02/17/2010 17:12:00,MOH0273,PC-6699,Logoff
88555,{E3I8-N7EU04OT-0550VLTN},02/18/2010 07:14:00,MOH0273,PC-6699,Logon
90320,{G0C2-W7FJ39ND-2304EQMT},02/18/2010 17:17:00,MOH0273,PC-6699,Logoff
91063,{B7S4-P3YB29CO-0781KQQV},02/19/2010 07:06:00,MOH0273,PC-6699,Logon
92854,{F4G8-W0XM75VG-8799MFNY},02/19/2010 17:17:00,MOH0273,PC-6699,Logoff
93530,{V8T3-K4CO11YS-7659EFUE},02/20/2010 07:16:00,MOH0273,PC-6699,Logon
