,id,date,user,pc,activity
1467,{K6M2-B0OD32GJ-7886BHKV},01/05/2010 07:24:42,TNM0961,PC-2030,Connect
1489,{R9X1-K9RE28KG-4808PNXV},01/05/2010 08:06:54,TNM0961,PC-2030,Disconnect
2210,{F1F2-V1OW76CJ-5980EHLE},01/05/2010 14:22:50,TNM0961,PC-2030,Connect
2211,{T8A8-I7RK12JR-0256TXIB},01/05/2010 14:22:55,TNM0961,PC-2030,Disconnect
2900,{C4M5-S9QM80YB-9607REZV},01/06/2010 09:37:32,TNM0961,PC-2030,Connect
2995,{Z9Q7-Y5AH49FI-0864MFNN},01/06/2010 10:26:00,TNM0961,PC-2030,Disconnect
4019,{U2T5-Z2BN41AC-7190MDSD},01/07/2010 08:38:29,TNM0961,PC-2030,Connect
4022,{R0J9-F2AG38QH-2928RRVX},01/07/2010 08:41:29,TNM0961,PC-2030,Disconnect
4043,{Z0D5-U2OF75AD-4524NVWV},01/07/2010 08:51:55,TNM0961,PC-2030,Connect
4142,{N8S2-R3HD24JI-6452QZVW},01/07/2010 09:30:25,TNM0961,PC-2030,Disconnect
5778,{K6N8-X6VY78TL-4579OYZR},01/08/2010 12:48:48,TNM0961,PC-2030,Connect
5838,{Q6Q3-D2WQ61DZ-2469FBLI},01/08/2010 13:22:08,TNM0961,PC-2030,Disconnect
5958,{Q9R2-K9YD00ZV-8406GYVZ},01/08/2010 14:16:05,TNM0961,PC-2030,Connect
6112,{R1D9-J6YE25SK-8243DVPI},01/08/2010 15:17:09,TNM0961,PC-2030,Disconnect
6801,{K3R6-I1ZY70QC-9506NUXG},01/11/2010 07:27:42,TNM0961,PC-2030,Connect
6841,{S8L6-D1EF49GL-4013SUDJ},01/11/2010 08:09:50,TNM0961,PC-2030,Disconnect
6856,{F9H2-B2QO94XX-2581JRZZ},01/11/2010 08:25:23,TNM0961,PC-2030,Connect
6956,{Z1U1-H0CH65EE-7054PPVA},01/11/2010 09:29:21,TNM0961,PC-2030,Disconnect
7346,{T9Q3-D6LQ97EC-6339KQAS},01/11/2010 12:43:53,TNM0961,PC-2030,Connect
7370,{O3Q3-R9DO77BA-2099PXLT},01/11/2010 12:53:38,TNM0961,PC-2030,Disconnect
7515,{C3E6-Y3IF05VU-7704UBIB},01/11/2010 14:03:36,TNM0961,PC-2030,Connect
7574,{N0R8-E1KF06FL-4197HUOR},01/11/2010 14:31:38,TNM0961,PC-2030,Disconnect
8551,{D7N0-D2OB54JJ-7107PFLA},01/12/2010 12:07:35,TNM0961,PC-2030,Connect
8610,{A4W0-X7LK91QB-6696BVLX},01/12/2010 12:44:31,TNM0961,PC-2030,Disconnect
8676,{Y6I2-E5ZX45JB-4963HAUZ},01/12/2010 13:24:46,TNM0961,PC-2030,Connect
8719,{V8J3-Z1LL03IL-1853MUKC},01/12/2010 13:49:56,TNM0961,PC-2030,Disconnect
9210,{W3M7-E8XY61FO-7977UXEV},01/13/2010 07:47:08,TNM0961,PC-2030,Connect
9256,{J7G3-E5GI52VT-5955HIAO},01/13/2010 08:30:37,TNM0961,PC-2030,Disconnect
9809,{Z5R6-E5SF69EQ-0848VGVJ},01/13/2010 13:15:34,TNM0961,PC-2030,Connect
9928,{I5B7-I0WN18HT-7707UFTO},01/13/2010 14:11:12,TNM0961,PC-2030,Disconnect
10020,{J5W5-W0GB82JM-6729AKME},01/13/2010 14:50:10,TNM0961,PC-2030,Connect
10039,{Q8E9-H2EK89VR-7245YXOZ},01/13/2010 14:59:48,TNM0961,PC-2030,Disconnect
10657,{E0U3-E8EG47IA-7944TBYO},01/14/2010 09:56:40,TNM0961,PC-2030,Connect
10755,{J0D0-H2RE69ZC-2152FWJO},01/14/2010 10:51:27,TNM0961,PC-2030,Disconnect
10818,{D2N9-A2FK55RE-8552SFEE},01/14/2010 11:25:46,TNM0961,PC-2030,Connect
10820,{B4D2-P0TB60RQ-5977AOGT},01/14/2010 11:26:01,TNM0961,PC-2030,Disconnect
11039,{J3K5-G2RV56EX-8996HSER},01/14/2010 13:06:38,TNM0961,PC-2030,Connect
11090,{X6Y1-W9TL19QU-6432OXJR},01/14/2010 13:32:52,TNM0961,PC-2030,Disconnect
12167,{J4N6-S1EX74KH-3654DMYZ},01/15/2010 12:04:47,TNM0961,PC-2030,Connect
12226,{H9P3-T0SU77FI-8984LYLV},01/15/2010 12:39:39,TNM0961,PC-2030,Disconnect
12465,{R4W2-V5IV85LY-8411GTAR},01/15/2010 14:46:54,TNM0961,PC-2030,Connect
12494,{Y8X0-J8AC18AK-5565JMNI},01/15/2010 14:59:58,TNM0961,PC-2030,Disconnect
13512,{O0H6-P8RJ32XG-7800SWBP},01/18/2010 10:15:15,TNM0961,PC-2030,Connect
13515,{U0X3-N9KR35ZY-9893JUPF},01/18/2010 10:16:38,TNM0961,PC-2030,Disconnect
13698,{T2B7-M1UT95FZ-9679LZET},01/18/2010 11:58:07,TNM0961,PC-2030,Connect
13751,{K6N4-D4PL96ZC-8487FZYJ},01/18/2010 12:21:27,TNM0961,PC-2030,Disconnect
13961,{O1U5-N2AX42GN-8618BFHR},01/18/2010 14:11:02,TNM0961,PC-2030,Connect
14051,{Q7V9-C0OO35KS-8859OYXS},01/18/2010 14:46:11,TNM0961,PC-2030,Disconnect
14433,{A9I0-L7AU78KK-5325UXCG},01/19/2010 07:32:14,TNM0961,PC-2030,Connect
14439,{Y2T3-X7XQ38OW-5466WOQN},01/19/2010 07:45:18,TNM0961,PC-2030,Disconnect
14457,{T6W8-G8PX41OV-4759TQEY},01/19/2010 08:01:11,TNM0961,PC-2030,Connect
14470,{I8I2-M4FH66LL-9467WPLM},01/19/2010 08:10:03,TNM0961,PC-2030,Disconnect
16148,{S7A3-Z5YZ14WI-5637FDOQ},01/20/2010 12:07:40,TNM0961,PC-2030,Connect
16330,{N3O5-O9NG76RL-6119XNRE},01/20/2010 13:25:42,TNM0961,PC-2030,Disconnect
16577,{H5R2-V9FJ55GH-0849AUSS},01/20/2010 15:06:07,TNM0961,PC-2030,Connect
16595,{G4B3-J0XV01IY-0614JJIN},01/20/2010 15:16:01,TNM0961,PC-2030,Disconnect
17038,{B1G8-M0LD09IZ-5363FOJO},01/21/2010 08:50:34,TNM0961,PC-2030,Connect
17077,{L7S2-L4HQ02UL-7583VBPW},01/21/2010 09:14:59,TNM0961,PC-2030,Disconnect
17541,{Y0D0-L4QU23AQ-6724OWLX},01/21/2010 13:00:52,TNM0961,PC-2030,Connect
17546,{V2P3-Z9XQ04RA-1290DCNH},01/21/2010 13:02:17,TNM0961,PC-2030,Disconnect
17892,{H7W6-Q3FH95DM-2952NDBB},01/21/2010 15:40:08,TNM0961,PC-2030,Connect
17896,{W4O8-W4MP15VX-2671BWRU},01/21/2010 15:41:37,TNM0961,PC-2030,Disconnect
19055,{V9F5-F1RC16MU-6380QIPK},01/22/2010 15:06:07,TNM0961,PC-2030,Connect
19131,{D2T3-E4BK65QZ-2051NZNM},01/22/2010 15:35:48,TNM0961,PC-2030,Disconnect
20037,{H8T8-T2LH13RW-1131RGEM},01/25/2010 10:35:20,TNM0961,PC-2030,Connect
20137,{Z4O7-L9FI56UH-6098TJLE},01/25/2010 11:39:41,TNM0961,PC-2030,Disconnect
20383,{D7F8-O0HT62OZ-8850ARHE},01/25/2010 13:43:48,TNM0961,PC-2030,Connect
20415,{I4M0-E4IC69CZ-4808EGMO},01/25/2010 14:00:28,TNM0961,PC-2030,Disconnect
20968,{L6N6-E1GH43ZP-8152NTSX},01/26/2010 08:02:00,TNM0961,PC-2030,Connect
20992,{B9V9-M6HM24KT-6672YYKC},01/26/2010 08:25:16,TNM0961,PC-2030,Disconnect
20994,{G4M5-Q8YH26DW-1954ETQU},01/26/2010 08:25:26,TNM0961,PC-2030,Connect
21008,{X3K2-P7MV72PP-1279ATWS},01/26/2010 08:35:50,TNM0961,PC-2030,Disconnect
21551,{P1W1-Z2DQ42PH-0838IWKU},01/26/2010 13:19:28,TNM0961,PC-2030,Connect
21563,{G6I5-F8DB27SJ-8844TBWG},01/26/2010 13:22:57,TNM0961,PC-2030,Disconnect
22231,{K7K2-A7DK11LU-2078BUOG},01/27/2010 08:11:00,TNM0961,PC-2030,Connect
22455,{F4Y0-Q6EN59PW-1186GQLN},01/27/2010 10:15:07,TNM0961,PC-2030,Disconnect
22712,{N4D5-F9YM54SW-8946COMU},01/27/2010 12:32:52,TNM0961,PC-2030,Connect
22923,{E5D5-H2YQ28RO-6078TSEE},01/27/2010 13:59:56,TNM0961,PC-2030,Disconnect
23499,{W7G5-C3PV45CH-9371ZPTR},01/28/2010 08:45:48,TNM0961,PC-2030,Connect
23511,{I1Q5-C6WX82KN-4770HBUT},01/28/2010 08:55:19,TNM0961,PC-2030,Disconnect
23821,{D3U8-L6TR13HJ-5058UCKU},01/28/2010 11:28:52,TNM0961,PC-2030,Connect
23836,{V6P2-V1HW55NF-2822MMMG},01/28/2010 11:35:55,TNM0961,PC-2030,Disconnect
24199,{N7H9-B2JY00LB-3459ZRTP},01/28/2010 14:30:31,TNM0961,PC-2030,Connect
24234,{H0I9-U9NC16FI-3778VSZM},01/28/2010 14:49:17,TNM0961,PC-2030,Disconnect
24873,{K9M8-T4JE71DY-2859SKCE},01/29/2010 10:15:44,TNM0961,PC-2030,Connect
24882,{W1C9-N2YL68OO-5668ZBXE},01/29/2010 10:18:32,TNM0961,PC-2030,Disconnect
26201,{L3T3-I9GI75AA-5910SJTG},02/01/2010 08:20:51,TNM0961,PC-2030,Connect
26205,{F0H2-T3EG72QE-2448BOYL},02/01/2010 08:23:07,TNM0961,PC-2030,Disconnect
26274,{W3H4-K8MK57QU-3759DAUY},02/01/2010 09:05:51,TNM0961,PC-2030,Connect
26314,{L1B4-J3UF93WD-1983TDUE},02/01/2010 09:23:37,TNM0961,PC-2030,Disconnect
27360,{P2K3-X1LA71KZ-8043MZVU},02/02/2010 07:55:35,TNM0961,PC-2030,Connect
27377,{W2W0-G9HR88HC-4967WLLX},02/02/2010 08:16:56,TNM0961,PC-2030,Disconnect
28690,{H7I2-W9XS53MB-2113VUKO},02/03/2010 08:56:08,TNM0961,PC-2030,Connect
28693,{G9R1-R1HU03PB-6858PNCI},02/03/2010 08:57:26,TNM0961,PC-2030,Disconnect
29158,{E7O9-N9QT48QI-5822KFEC},02/03/2010 12:56:38,TNM0961,PC-2030,Connect
29163,{Z9N4-K5DY79SA-2774GDKC},02/03/2010 12:59:00,TNM0961,PC-2030,Disconnect
30152,{I6Z5-C1BF00CE-1679OCFT},02/04/2010 11:09:47,TNM0961,PC-2030,Connect
30195,{P3W3-T0XN88YK-9527ADGD},02/04/2010 11:27:45,TNM0961,PC-2030,Disconnect
31518,{Y6C1-W8JP88BO-3963HIUC},02/05/2010 12:47:27,TNM0961,PC-2030,Connect
31519,{J8F8-A8SW44FA-6001QJTG},02/05/2010 12:47:45,TNM0961,PC-2030,Disconnect
31535,{L2D6-R0XG13XJ-1252EKAN},02/05/2010 12:58:36,TNM0961,PC-2030,Connect
31575,{V0X6-Q8KK28WR-7651NSMT},02/05/2010 13:23:09,TNM0961,PC-2030,Disconnect
32470,{C3T2-M0PE62PW-1106KOAW},02/08/2010 07:35:29,TNM0961,PC-2030,Connect
32496,{Y0I5-B4LJ53ZE-3638GZIB},02/08/2010 08:09:25,TNM0961,PC-2030,Disconnect
32841,{W1C3-G6GW50XU-3598OZOC},02/08/2010 10:56:51,TNM0961,PC-2030,Connect
32989,{S8N6-W8PJ53YM-8175ZDCW},02/08/2010 12:05:28,TNM0961,PC-2030,Disconnect
33038,{K1R8-D0FQ95FL-5258FDCU},02/08/2010 12:32:15,TNM0961,PC-2030,Connect
33051,{N4P0-X6LF60XF-0818NNMK},02/08/2010 12:38:24,TNM0961,PC-2030,Disconnect
34241,{L2Y1-C8ZI62AZ-1866ZMIF},02/09/2010 12:44:30,TNM0961,PC-2030,Connect
34612,{E9E2-T1EE91ZS-1960HIEZ},02/09/2010 15:33:58,TNM0961,PC-2030,Connect
