,id,date,user,pc,activity
408,{H0G4-T5FE40TW-0675QPBT},01/04/2010 07:04:00,TNM0961,PC-2030,Logon
1913,{B2H1-A6HO71GE-0577NIIE},01/04/2010 16:25:00,TNM0961,PC-2030,Logoff
2998,{O4Y1-U9XV75RZ-5947YVVI},01/05/2010 07:15:00,TNM0961,PC-2030,Logon
4153,{P2W6-R8XU80YF-7337JLQN},01/05/2010 13:00:06,TNM0961,PC-2030,Logon
4523,{D9W3-Q1TF89UH-4583TABT},01/05/2010 16:15:00,TNM0961,PC-2030,Logoff
5573,{B5S2-R1AY79FC-2123TEZJ},01/06/2010 07:03:00,TNM0961,PC-2030,Logon
7037,{U0B2-W2MP91HA-4785AQPV},01/06/2010 16:18:00,TNM0961,PC-2030,Logoff
8246,{J2G0-B7QH79ES-1655FWKX},01/07/2010 07:15:00,TNM0961,PC-2030,Logon
9448,{D6V8-J1TK58UT-1003NYKX},01/07/2010 13:05:20,TNM0961,PC-2030,Logon
9789,{C7H6-J8EQ04EA-1087EQPL},01/07/2010 16:15:00,TNM0961,PC-2030,Logoff
10818,{C5F0-G2CO27OY-7748XRUC},01/08/2010 07:01:00,TNM0961,PC-2030,Logon
11974,{F6G7-W1CO25HC-0516GQFO},01/08/2010 12:43:44,TNM0961,PC-2030,Logon
12383,{Q9R1-U0YV00QM-8811HAJS},01/08/2010 16:27:00,TNM0961,PC-2030,Logoff
13748,{M3L8-X4GR52IR-1010KFWT},01/11/2010 07:01:00,TNM0961,PC-2030,Logon
13788,{C0U7-Z1MT17AI-2494RSNQ},01/11/2010 07:06:00,TNM0961,PC-4124,Logon
13821,{B7O1-P2YT53RX-3964TYVD},01/11/2010 07:11:19,TNM0961,PC-4124,Logoff
15214,{C2U5-M7UV19WW-3188TTMN},01/11/2010 16:21:00,TNM0961,PC-2030,Logoff
16453,{Z0V7-Y0RL25KE-3052ZJBP},01/12/2010 07:10:00,TNM0961,PC-2030,Logon
17448,{A4N1-M9LT09ZC-4969WWFF},01/12/2010 11:28:24,TNM0961,PC-2030,Logon
17952,{N5B6-F8XI24DZ-1797ZRTV},01/12/2010 16:24:00,TNM0961,PC-2030,Logoff
19011,{H4J9-O3NO97JT-9702GTQO},01/13/2010 07:15:00,TNM0961,PC-2030,Logon
20201,{I5J7-O5FH09XS-8925BPMR},01/13/2010 13:08:19,TNM0961,PC-2030,Logon
20552,{Z0M2-L3FC75MX-3146OHCC},01/13/2010 16:15:00,TNM0961,PC-2030,Logoff
21620,{R9L9-M0CJ25NC-6071BWYZ},01/14/2010 07:05:00,TNM0961,PC-2030,Logon
23069,{E7X8-Q3VI64EL-0549DJEW},01/14/2010 16:20:00,TNM0961,PC-2030,Logoff
24279,{M1U6-L8XT50RB-5832AVVP},01/15/2010 07:15:00,TNM0961,PC-2030,Logon
25358,{Y8B8-H7HE28NP-1820LWAV},01/15/2010 12:03:21,TNM0961,PC-2030,Logon
25820,{N3E6-O9WZ27FX-2511QKAZ},01/15/2010 16:15:00,TNM0961,PC-2030,Logoff
27197,{R2A9-N1XW40KQ-0271NERJ},01/18/2010 07:09:00,TNM0961,PC-2030,Logon
27245,{S9N0-P7CL16DB-9901JUSX},01/18/2010 07:16:37,TNM0961,PC-4124,Logon
27271,{R1R1-B3KF46MN-2580OTEK},01/18/2010 07:18:59,TNM0961,PC-4124,Logoff
28636,{U6B4-J7DR71KO-8234AZBU},01/18/2010 16:15:00,TNM0961,PC-2030,Logoff
29856,{K3N3-T2VC13LR-1020USJR},01/19/2010 07:04:00,TNM0961,PC-2030,Logon
30899,{D3V9-B3YU41GM-8368GCEI},01/19/2010 11:34:05,TNM0961,PC-2030,Logon
31402,{B2A1-V0NY39BQ-5683ZUWT},01/19/2010 16:30:00,TNM0961,PC-2030,Logoff
32528,{J4I7-I6NQ95TQ-0023PGGU},01/20/2010 07:13:00,TNM0961,PC-2030,Logon
